gtfo_KTI_title;Grant Kutai Independence;;;;;;;;;;;;x,,
gtfo_KTI_desc;We've had a good run, but it's time to end our rulership of Kutai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LAN_title;Grant Lanfang Independence;;;;;;;;;;;;x,,
gtfo_LAN_desc;We've had a good run, but it's time to end our rulership of Lanfang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CEL_title;Grant Celtic Union Independence;;;;;;;;;;;;x,,
gtfo_CEL_desc;We've had a good run, but it's time to end our rulership of Celtic Union: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DEN_title;Grant Denmark Independence;;;;;;;;;;;;x,,
gtfo_DEN_desc;We've had a good run, but it's time to end our rulership of Denmark: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FIN_title;Grant Finland Independence;;;;;;;;;;;;x,,
gtfo_FIN_desc;We've had a good run, but it's time to end our rulership of Finland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NOR_title;Grant Norway Independence;;;;;;;;;;;;x,,
gtfo_NOR_desc;We've had a good run, but it's time to end our rulership of Norway: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SCA_title;Grant Scandinavia Independence;;;;;;;;;;;;x,,
gtfo_SCA_desc;We've had a good run, but it's time to end our rulership of Scandinavia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWE_title;Grant Sweden Independence;;;;;;;;;;;;x,,
gtfo_SWE_desc;We've had a good run, but it's time to end our rulership of Sweden: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BEL_title;Grant Belgium Independence;;;;;;;;;;;;x,,
gtfo_BEL_desc;We've had a good run, but it's time to end our rulership of Belgium: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CAT_title;Grant Catalonia Independence;;;;;;;;;;;;x,,
gtfo_CAT_desc;We've had a good run, but it's time to end our rulership of Catalonia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FLA_title;Grant Flanders Independence;;;;;;;;;;;;x,,
gtfo_FLA_desc;We've had a good run, but it's time to end our rulership of Flanders: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IRE_title;Grant Ireland Independence;;;;;;;;;;;;x,,
gtfo_IRE_desc;We've had a good run, but it's time to end our rulership of Ireland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NET_title;Grant Netherlands Independence;;;;;;;;;;;;x,,
gtfo_NET_desc;We've had a good run, but it's time to end our rulership of Netherlands: if you love something, let it go!;;;;;;;;;;;;x
gtfo_POR_title;Grant Portugal Independence;;;;;;;;;;;;x,,
gtfo_POR_desc;We've had a good run, but it's time to end our rulership of Portugal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SCO_title;Grant Scotland Independence;;;;;;;;;;;;x,,
gtfo_SCO_desc;We've had a good run, but it's time to end our rulership of Scotland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SPA_title;Grant Spain Independence;;;;;;;;;;;;x,,
gtfo_SPA_desc;We've had a good run, but it's time to end our rulership of Spain: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WLL_title;Grant Wallonia Independence;;;;;;;;;;;;x,,
gtfo_WLL_desc;We've had a good run, but it's time to end our rulership of Wallonia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ANH_title;Grant Anhalt Independence;;;;;;;;;;;;x,,
gtfo_ANH_desc;We've had a good run, but it's time to end our rulership of Anhalt: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAD_title;Grant Baden Independence;;;;;;;;;;;;x,,
gtfo_BAD_desc;We've had a good run, but it's time to end our rulership of Baden: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAV_title;Grant Bavaria Independence;;;;;;;;;;;;x,,
gtfo_BAV_desc;We've had a good run, but it's time to end our rulership of Bavaria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRE_title;Grant Bremen Independence;;;;;;;;;;;;x,,
gtfo_BRE_desc;We've had a good run, but it's time to end our rulership of Bremen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_COB_title;Grant Saxe-Coburg-Gotha Independence;;;;;;;;;;;;x,,
gtfo_COB_desc;We've had a good run, but it's time to end our rulership of Saxe-Coburg-Gotha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DZG_title;Grant Danzig Independence;;;;;;;;;;;;x,,
gtfo_DZG_desc;We've had a good run, but it's time to end our rulership of Danzig: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRM_title;Grant Frankfurt am Main Independence;;;;;;;;;;;;x,,
gtfo_FRM_desc;We've had a good run, but it's time to end our rulership of Frankfurt am Main: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAM_title;Grant Hamburg Independence;;;;;;;;;;;;x,,
gtfo_HAM_desc;We've had a good run, but it's time to end our rulership of Hamburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAN_title;Grant Hanover Independence;;;;;;;;;;;;x,,
gtfo_HAN_desc;We've had a good run, but it's time to end our rulership of Hanover: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HES_title;Grant Hesse-Darmstadt Independence;;;;;;;;;;;;x,,
gtfo_HES_desc;We've had a good run, but it's time to end our rulership of Hesse-Darmstadt: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HEK_title;Grant Hesse-Kassel Independence;;;;;;;;;;;;x,,
gtfo_HEK_desc;We've had a good run, but it's time to end our rulership of Hesse-Kassel: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HOL_title;Grant Holstein Independence;;;;;;;;;;;;x,,
gtfo_HOL_desc;We've had a good run, but it's time to end our rulership of Holstein: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LIP_title;Grant Lippe-Detmold Independence;;;;;;;;;;;;x,,
gtfo_LIP_desc;We've had a good run, but it's time to end our rulership of Lippe-Detmold: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUB_title;Grant Lubeck Independence;;;;;;;;;;;;x,,
gtfo_LUB_desc;We've had a good run, but it's time to end our rulership of Lubeck: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUX_title;Grant Luxemburg Independence;;;;;;;;;;;;x,,
gtfo_LUX_desc;We've had a good run, but it's time to end our rulership of Luxemburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MEC_title;Grant Mecklenburg Independence;;;;;;;;;;;;x,,
gtfo_MEC_desc;We've had a good run, but it's time to end our rulership of Mecklenburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MEI_title;Grant Saxe-Meiningen Independence;;;;;;;;;;;;x,,
gtfo_MEI_desc;We've had a good run, but it's time to end our rulership of Saxe-Meiningen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NAS_title;Grant Nassau Independence;;;;;;;;;;;;x,,
gtfo_NAS_desc;We've had a good run, but it's time to end our rulership of Nassau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NGF_title;Grant North German Fed Independence;;;;;;;;;;;;x,,
gtfo_NGF_desc;We've had a good run, but it's time to end our rulership of North German Fed: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OLD_title;Grant Oldenburg Independence;;;;;;;;;;;;x,,
gtfo_OLD_desc;We've had a good run, but it's time to end our rulership of Oldenburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAX_title;Grant Saxony Independence;;;;;;;;;;;;x,,
gtfo_SAX_desc;We've had a good run, but it's time to end our rulership of Saxony: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SCH_title;Grant Schleswig Independence;;;;;;;;;;;;x,,
gtfo_SCH_desc;We've had a good run, but it's time to end our rulership of Schleswig: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SGF_title;Grant South German Fed Independence;;;;;;;;;;;;x,,
gtfo_SGF_desc;We've had a good run, but it's time to end our rulership of South German Fed: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WEI_title;Grant Saxe-Weimar Independence;;;;;;;;;;;;x,,
gtfo_WEI_desc;We've had a good run, but it's time to end our rulership of Saxe-Weimar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WUR_title;Grant Wurttemberg Independence;;;;;;;;;;;;x,,
gtfo_WUR_desc;We've had a good run, but it's time to end our rulership of Wurttemberg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOM_title;Grant Lombardia Independence;;;;;;;;;;;;x,,
gtfo_LOM_desc;We've had a good run, but it's time to end our rulership of Lombardia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUC_title;Grant Lucca Independence;;;;;;;;;;;;x,,
gtfo_LUC_desc;We've had a good run, but it's time to end our rulership of Lucca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MOD_title;Grant Modena Independence;;;;;;;;;;;;x,,
gtfo_MOD_desc;We've had a good run, but it's time to end our rulership of Modena: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PAP_title;Grant Papal States Independence;;;;;;;;;;;;x,,
gtfo_PAP_desc;We've had a good run, but it's time to end our rulership of Papal States: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PAR_title;Grant Parma Independence;;;;;;;;;;;;x,,
gtfo_PAR_desc;We've had a good run, but it's time to end our rulership of Parma: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAR_title;Grant Sardinia-Piedmont Independence;;;;;;;;;;;;x,,
gtfo_SAR_desc;We've had a good run, but it's time to end our rulership of Sardinia-Piedmont: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIC_title;Grant Two Sicilies Independence;;;;;;;;;;;;x,,
gtfo_SIC_desc;We've had a good run, but it's time to end our rulership of Two Sicilies: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRE_title;Grant Trieste Independence;;;;;;;;;;;;x,,
gtfo_TRE_desc;We've had a good run, but it's time to end our rulership of Trieste: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TUS_title;Grant Tuscany Independence;;;;;;;;;;;;x,,
gtfo_TUS_desc;We've had a good run, but it's time to end our rulership of Tuscany: if you love something, let it go!;;;;;;;;;;;;x
gtfo_VEN_title;Grant Venice Independence;;;;;;;;;;;;x,,
gtfo_VEN_desc;We've had a good run, but it's time to end our rulership of Venice: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BOH_title;Grant Bohemia-Moravia Independence;;;;;;;;;;;;x,,
gtfo_BOH_desc;We've had a good run, but it's time to end our rulership of Bohemia-Moravia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KRA_title;Grant Krakow Independence;;;;;;;;;;;;x,,
gtfo_KRA_desc;We've had a good run, but it's time to end our rulership of Krakow: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRI_title;Grant Crimea Independence;;;;;;;;;;;;x,,
gtfo_CRI_desc;We've had a good run, but it's time to end our rulership of Crimea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EST_title;Grant Estonia Independence;;;;;;;;;;;;x,,
gtfo_EST_desc;We've had a good run, but it's time to end our rulership of Estonia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HUN_title;Grant Hungary Independence;;;;;;;;;;;;x,,
gtfo_HUN_desc;We've had a good run, but it's time to end our rulership of Hungary: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LIT_title;Grant Lithuania Independence;;;;;;;;;;;;x,,
gtfo_LIT_desc;We've had a good run, but it's time to end our rulership of Lithuania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LAT_title;Grant Latvia Independence;;;;;;;;;;;;x,,
gtfo_LAT_desc;We've had a good run, but it's time to end our rulership of Latvia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_POL_title;Grant Poland Independence;;;;;;;;;;;;x,,
gtfo_POL_desc;We've had a good run, but it's time to end our rulership of Poland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLV_title;Grant Slovakia Independence;;;;;;;;;;;;x,,
gtfo_SLV_desc;We've had a good run, but it's time to end our rulership of Slovakia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWI_title;Grant Switzerland Independence;;;;;;;;;;;;x,,
gtfo_SWI_desc;We've had a good run, but it's time to end our rulership of Switzerland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RUT_title;Grant Ruthenia Independence;;;;;;;;;;;;x,,
gtfo_RUT_desc;We've had a good run, but it's time to end our rulership of Ruthenia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIE_title;Grant Siebenburgen Independence;;;;;;;;;;;;x,,
gtfo_SIE_desc;We've had a good run, but it's time to end our rulership of Siebenburgen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UKR_title;Grant Ukraine Independence;;;;;;;;;;;;x,,
gtfo_UKR_desc;We've had a good run, but it's time to end our rulership of Ukraine: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CZH_title;Grant Czechoslovakia Independence;;;;;;;;;;;;x,,
gtfo_CZH_desc;We've had a good run, but it's time to end our rulership of Czechoslovakia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALB_title;Grant Albania Independence;;;;;;;;;;;;x,,
gtfo_ALB_desc;We've had a good run, but it's time to end our rulership of Albania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BOS_title;Grant Bosnia-Herzegovina Independence;;;;;;;;;;;;x,,
gtfo_BOS_desc;We've had a good run, but it's time to end our rulership of Bosnia-Herzegovina: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BUL_title;Grant Bulgaria Independence;;;;;;;;;;;;x,,
gtfo_BUL_desc;We've had a good run, but it's time to end our rulership of Bulgaria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRE_title;Grant Crete Independence;;;;;;;;;;;;x,,
gtfo_CRE_desc;We've had a good run, but it's time to end our rulership of Crete: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRO_title;Grant Croatia Independence;;;;;;;;;;;;x,,
gtfo_CRO_desc;We've had a good run, but it's time to end our rulership of Croatia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CYP_title;Grant Cyprus Independence;;;;;;;;;;;;x,,
gtfo_CYP_desc;We've had a good run, but it's time to end our rulership of Cyprus: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRE_title;Grant Greece Independence;;;;;;;;;;;;x,,
gtfo_GRE_desc;We've had a good run, but it's time to end our rulership of Greece: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ION_title;Grant Ionian Islands Independence;;;;;;;;;;;;x,,
gtfo_ION_desc;We've had a good run, but it's time to end our rulership of Ionian Islands: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MOL_title;Grant Moldavia Independence;;;;;;;;;;;;x,,
gtfo_MOL_desc;We've had a good run, but it's time to end our rulership of Moldavia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MON_title;Grant Montenegro Independence;;;;;;;;;;;;x,,
gtfo_MON_desc;We've had a good run, but it's time to end our rulership of Montenegro: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ROM_title;Grant Romania Independence;;;;;;;;;;;;x,,
gtfo_ROM_desc;We've had a good run, but it's time to end our rulership of Romania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SER_title;Grant Serbia Independence;;;;;;;;;;;;x,,
gtfo_SER_desc;We've had a good run, but it's time to end our rulership of Serbia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLO_title;Grant Slovenia Independence;;;;;;;;;;;;x,,
gtfo_SLO_desc;We've had a good run, but it's time to end our rulership of Slovenia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TUR_title;Grant Ottoman Empire Independence;;;;;;;;;;;;x,,
gtfo_TUR_desc;We've had a good run, but it's time to end our rulership of Ottoman Empire: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WAL_title;Grant Wallachia Independence;;;;;;;;;;;;x,,
gtfo_WAL_desc;We've had a good run, but it's time to end our rulership of Wallachia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YUG_title;Grant Yugoslavia Independence;;;;;;;;;;;;x,,
gtfo_YUG_desc;We've had a good run, but it's time to end our rulership of Yugoslavia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALD_title;Grant Aldjazair Independence;;;;;;;;;;;;x,,
gtfo_ALD_desc;We've had a good run, but it's time to end our rulership of Aldjazair: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CNG_title;Grant Congo Free State Independence;;;;;;;;;;;;x,,
gtfo_CNG_desc;We've had a good run, but it's time to end our rulership of Congo Free State: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EGY_title;Grant Egypt Independence;;;;;;;;;;;;x,,
gtfo_EGY_desc;We've had a good run, but it's time to end our rulership of Egypt: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ETH_title;Grant Ethiopia Independence;;;;;;;;;;;;x,,
gtfo_ETH_desc;We've had a good run, but it's time to end our rulership of Ethiopia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAD_title;Grant Madagascar Independence;;;;;;;;;;;;x,,
gtfo_MAD_desc;We've had a good run, but it's time to end our rulership of Madagascar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LIB_title;Grant Liberia Independence;;;;;;;;;;;;x,,
gtfo_LIB_desc;We've had a good run, but it's time to end our rulership of Liberia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MOR_title;Grant Morocco Independence;;;;;;;;;;;;x,,
gtfo_MOR_desc;We've had a good run, but it's time to end our rulership of Morocco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NAL_title;Grant Natalia Independence;;;;;;;;;;;;x,,
gtfo_NAL_desc;We've had a good run, but it's time to end our rulership of Natalia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ORA_title;Grant Oranje Independence;;;;;;;;;;;;x,,
gtfo_ORA_desc;We've had a good run, but it's time to end our rulership of Oranje: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAF_title;Grant South Africa Independence;;;;;;;;;;;;x,,
gtfo_SAF_desc;We've had a good run, but it's time to end our rulership of South Africa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SOK_title;Grant Sokoto Independence;;;;;;;;;;;;x,,
gtfo_SOK_desc;We've had a good run, but it's time to end our rulership of Sokoto: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RHO_title;Grant Southern Rhodesia Independence;;;;;;;;;;;;x,,
gtfo_RHO_desc;We've had a good run, but it's time to end our rulership of Southern Rhodesia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRI_title;Grant Tripoli Independence;;;;;;;;;;;;x,,
gtfo_TRI_desc;We've had a good run, but it's time to end our rulership of Tripoli: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRN_title;Grant Transvaal Independence;;;;;;;;;;;;x,,
gtfo_TRN_desc;We've had a good run, but it's time to end our rulership of Transvaal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TUN_title;Grant Tunis Independence;;;;;;;;;;;;x,,
gtfo_TUN_desc;We've had a good run, but it's time to end our rulership of Tunis: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZAN_title;Grant Zanzibar Independence;;;;;;;;;;;;x,,
gtfo_ZAN_desc;We've had a good run, but it's time to end our rulership of Zanzibar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZUL_title;Grant Zulu Independence;;;;;;;;;;;;x,,
gtfo_ZUL_desc;We've had a good run, but it's time to end our rulership of Zulu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ABU_title;Grant Abu Dhabi Independence;;;;;;;;;;;;x,,
gtfo_ABU_desc;We've had a good run, but it's time to end our rulership of Abu Dhabi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AFG_title;Grant Afghanistan Independence;;;;;;;;;;;;x,,
gtfo_AFG_desc;We've had a good run, but it's time to end our rulership of Afghanistan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARM_title;Grant Armenia Independence;;;;;;;;;;;;x,,
gtfo_ARM_desc;We've had a good run, but it's time to end our rulership of Armenia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AZB_title;Grant Azerbaijan Independence;;;;;;;;;;;;x,,
gtfo_AZB_desc;We've had a good run, but it's time to end our rulership of Azerbaijan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BUK_title;Grant Bukkhara Independence;;;;;;;;;;;;x,,
gtfo_BUK_desc;We've had a good run, but it's time to end our rulership of Bukkhara: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GEO_title;Grant Georgia Independence;;;;;;;;;;;;x,,
gtfo_GEO_desc;We've had a good run, but it's time to end our rulership of Georgia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HDJ_title;Grant Hedjaz Independence;;;;;;;;;;;;x,,
gtfo_HDJ_desc;We've had a good run, but it's time to end our rulership of Hedjaz: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IRQ_title;Grant Iraq Independence;;;;;;;;;;;;x,,
gtfo_IRQ_desc;We've had a good run, but it's time to end our rulership of Iraq: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KHI_title;Grant Khiva Independence;;;;;;;;;;;;x,,
gtfo_KHI_desc;We've had a good run, but it's time to end our rulership of Khiva: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KOK_title;Grant Kokand Independence;;;;;;;;;;;;x,,
gtfo_KOK_desc;We've had a good run, but it's time to end our rulership of Kokand: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MUG_title;Grant Mughalistan Independence;;;;;;;;;;;;x,,
gtfo_MUG_desc;We've had a good run, but it's time to end our rulership of Mughalistan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NEJ_title;Grant Nejd Independence;;;;;;;;;;;;x,,
gtfo_NEJ_desc;We've had a good run, but it's time to end our rulership of Nejd: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OMA_title;Grant Oman Independence;;;;;;;;;;;;x,,
gtfo_OMA_desc;We've had a good run, but it's time to end our rulership of Oman: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PER_title;Grant Persia Independence;;;;;;;;;;;;x,,
gtfo_PER_desc;We've had a good run, but it's time to end our rulership of Persia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YEM_title;Grant Yemen Independence;;;;;;;;;;;;x,,
gtfo_YEM_desc;We've had a good run, but it's time to end our rulership of Yemen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HND_title;Grant India Independence;;;;;;;;;;;;x,,
gtfo_HND_desc;We've had a good run, but it's time to end our rulership of India: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AWA_title;Grant Awadh Independence;;;;;;;;;;;;x,,
gtfo_AWA_desc;We've had a good run, but it's time to end our rulership of Awadh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAS_title;Grant Bastar Independence;;;;;;;;;;;;x,,
gtfo_BAS_desc;We've had a good run, but it's time to end our rulership of Bastar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BER_title;Grant Beroda Independence;;;;;;;;;;;;x,,
gtfo_BER_desc;We've had a good run, but it's time to end our rulership of Beroda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BHO_title;Grant Bhopal Independence;;;;;;;;;;;;x,,
gtfo_BHO_desc;We've had a good run, but it's time to end our rulership of Bhopal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BIK_title;Grant Bikaner Independence;;;;;;;;;;;;x,,
gtfo_BIK_desc;We've had a good run, but it's time to end our rulership of Bikaner: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BUN_title;Grant Bundelkhand Independence;;;;;;;;;;;;x,,
